"variable","description","polygone","area","moyenne.echantillon","ecart.type.echantillon","n","moyenne","ecart.type","int.conf.bas","int.conf.haut","moyenne.CV","deviation.absolue.CV","ecart.type.CV"
"COM","Crabes commerciaux","gulf",57842.8460132939,71559.2334509166,101056.885988533,353,69701.5020263081,4766.23654385136,60826.2810270567,79499.9796270319,-0.00411831713595278,0.969319950779245,1.63294413035392
"COMSC12","Crabes commerciaux, condition de carapace 1,2","gulf",57842.8460132939,51557.4281204094,87970.3413636067,353,50444.2353327561,4066.69782961482,42943.1625876845,58872.9260922672,-0.012593179783766,0.807270814463433,1.44531747898322
"COMSC345","Crabes commerciaux, condition de carapace 3,4,5","gulf",57842.8460132939,20001.8053305072,33562.2359595617,353,19107.2654785037,1558.15957332018,16235.3054188458,22338.709513794,0.00296173233775236,0.325585544399835,0.539878308494899
"COM","Crabes commerciaux","zone12_expanded",54029.4254629879,64583.0999647812,94815.817133924,329,63319.454033909,4548.22717029125,54872.7375275054,72691.3446009136,-0.015758753430482,0.948732584091146,1.64052482903008
"COMSC12","Crabes commerciaux, condition de carapace 1,2","zone12_expanded",54029.4254629879,48393.8307952849,83687.6731404706,329,47235.4136576001,3854.14290220674,40131.8123009154,55228.7076037113,-0.0103163614840145,0.800059688136476,1.46597730117137
"COMSC345","Crabes commerciaux, condition de carapace 3,4,5","zone12_expanded",54029.4254629879,16189.2691694963,26532.5221777115,329,15984.5174283742,1490.08157418193,13263.0369399554,19098.4601849602,-0.00902205032287051,0.285625689723802,0.45803880428732
"COM","Crabes commerciaux","zone12",48074.5522582699,55192.7825665256,66903.9413183533,292,55773.9538234478,4176.2814403185,48036.2977158898,64396.9246314228,-0.0491449637695295,0.860124210719714,1.23647758437976
"COMSC12","Crabes commerciaux, condition de carapace 1,2","zone12",48074.5522582699,41158.5006930336,58221.8529701184,292,41886.6580430175,3498.66931970589,35447.9534631332,49151.9558548257,-0.044714161176493,0.723681709618392,1.080525310223
"COMSC345","Crabes commerciaux, condition de carapace 3,4,5","zone12",48074.5522582699,14034.281873492,22334.9090653187,292,13998.4379900493,1377.91311044643,11492.1428906676,16887.69824194,-0.012959926275734,0.269142185798408,0.426061422416707
"COM","Crabes commerciaux","zone19",3813.21275606925,6902.44914936574,5941.74563742299,24,6393.20154453814,960.462315546421,4717.44933437792,8472.98952184683,0.155452663734886,1.23916070673746,1.54920860842145
"COMSC12","Crabes commerciaux, condition de carapace 1,2","zone19",3813.21275606925,3171.06695512726,4142.94088239237,24,3207.89482799544,790.583715484045,1935.1861282885,5013.13799454172,-0.0438045639761934,0.905005073987405,1.14931693489346
"COMSC345","Crabes commerciaux, condition de carapace 3,4,5","zone19",3813.21275606925,3731.38219423848,4289.0796779046,24,3134.56993798745,315.303006487979,2562.03960600248,3796.62692000911,0.167239419643791,0.865150615346201,1.1994156542138
"COM","Crabes commerciaux","zoneE",2436.91866680957,469.032508526078,1394.05069209041,13,615.774573211696,642.631303688157,79.2169560535461,2291.18212160393,0.0733549486528191,0.249954548525797,0.442379390756472
"COMSC12","Crabes commerciaux, condition de carapace 1,2","zoneE",2436.91866680957,339.822489989359,1225.24741221248,13,389.692592405593,553.467766677202,28.6039200078543,1759.6260902915,0.0845325608790075,0.20934228330882,0.41027970611322
"COMSC345","Crabes commerciaux, condition de carapace 3,4,5","zoneE",2436.91866680957,129.210018536719,332.86121143207,13,212.30916022511,211.051270515454,29.6553967569082,764.49882839848,-0.00226407006814305,0.0772526881838088,0.132081281432696
"COM","Crabes commerciaux","zoneF",2426.8307893941,6427.20631211611,11745.4011085794,17,5737.21303279259,770.526222512063,4375.32715216131,7389.71529018161,0.401525254089491,3.05479809357839,5.07836026004767
"COMSC12","Crabes commerciaux, condition de carapace 1,2","zoneF",2426.8307893941,5430.6004380861,10736.6383638178,17,4415.28751764333,619.95539206471,3324.94336621057,5749.82729887225,0.563133071480039,2.83806243156125,4.67362365277238
"COMSC345","Crabes commerciaux, condition de carapace 3,4,5","zoneF",2426.8307893941,996.605874030007,1471.51812794672,17,1120.5330318913,245.685012931627,715.785764339756,1673.68770697255,-0.0419017929098328,0.454648927054949,0.627329868108632
"COM","Crabes commerciaux","zoneEF_unassigned",667.873695525035,576.81562723647,1153.63125447294,4,416.742598571135,330.588902279937,83.0164843433004,1284.03527469143,0.392333771780833,1.30043283425108,1.77984852458367
"COMSC12","Crabes commerciaux, condition de carapace 1,2","zoneEF_unassigned",667.873695525035,123.150917188894,246.301834377788,4,82.0490719685158,294.303784745397,0.917967572845751,528.893302616122,0.0832204571244573,0.294273868220205,0.403319073205652
"COMSC345","Crabes commerciaux, condition de carapace 3,4,5","zoneEF_unassigned",667.873695525035,453.664710047576,907.329420095153,4,313.152875851081,106.893212198868,154.610249584662,568.079843943452,0.299202718855959,1.18708615427139,1.58641486815794
"COM","Crabes commerciaux","zone19_F_buffer",134.197262246948,92.9375965625097,NA,1,292.91962227738,104.521609805879,139.973485585933,543.753216001074,-2.3850752842658,0,NA
"COMSC12","Crabes commerciaux, condition de carapace 1,2","zone19_F_buffer",134.197262246948,92.9375965625097,NA,1,189.417547537438,89.4914436494263,71.0545509732142,412.805867059086,-2.04459068323606,0,NA
"COMSC345","Crabes commerciaux, condition de carapace 3,4,5","zone19_F_buffer",134.197262246948,0,NA,1,97.5162275143758,34.1438848442501,47.2610406136578,179.236920759483,-0.817271807005092,0,NA
"COM","Crabes commerciaux","zone19_12_buffer",289.052790742378,918.726003259319,240.818042887973,2,579.522151871602,230.641188791999,253.951068064868,1141.65381713683,1.10094804360426,0.774521253223693,1.09533846065515
"COMSC12","Crabes commerciaux, condition de carapace 1,2","zone19_12_buffer",289.052790742378,492.302759520064,369.202425683927,2,360.557340523056,206.035329538079,110.44244570482,887.34545911891,0.350987741722838,1.15530027559745,1.63384131836329
"COMSC345","Crabes commerciaux, condition de carapace 3,4,5","zone19_12_buffer",289.052790742378,426.423243739255,128.384382795954,2,246.518181461799,74.8593973250445,131.792900645432,422.180659511463,0.589134119112103,0.283707546555351,0.401223060086173
